referrer,views_total,views_unique
github.com,760,91
Google,380,46
statics.teams.cdn.office.net,27,6
search.brave.com,21,3
Bing,5,3
app.codecov.io,5,1
kagi.com,5,1
riscv.github.io,4,2
riscv-non-isa.github.io,3,2
deliveroo.engineering,2,1
