referrer,views_total,views_unique
github.com,696,75
Google,411,70
riscv.org,89,27
statics.teams.cdn.office.net,39,9
Bing,33,12
DuckDuckGo,18,9
usc-word-edit.officeapps.live.com,18,1
riscv-software-src.github.io,13,3
search.brave.com,8,1
chatgpt.com,6,2
