time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,1353,844,176,36
2026-03-14 00:00:00+00:00,1099,320,101,19
2026-03-15 00:00:00+00:00,785,417,21,8
2026-03-16 00:00:00+00:00,1803,389,271,29
2026-03-17 00:00:00+00:00,3632,579,395,42
2026-03-18 00:00:00+00:00,919,568,199,45
2026-03-19 00:00:00+00:00,1029,723,200,45
2026-03-20 00:00:00+00:00,602,256,79,29
2026-03-21 00:00:00+00:00,1107,624,48,13
2026-03-22 00:00:00+00:00,1619,617,142,14
2026-03-23 00:00:00+00:00,1318,791,142,27
2026-03-24 00:00:00+00:00,2737,1284,248,32
2026-03-25 00:00:00+00:00,3929,1679,585,49
2026-03-26 00:00:00+00:00,3077,711,573,39
