time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,1481,129,523,57
2026-01-21 00:00:00+00:00,4795,267,714,63
2026-01-22 00:00:00+00:00,3986,213,972,66
2026-01-23 00:00:00+00:00,2964,176,534,51
2026-01-24 00:00:00+00:00,3393,156,333,43
2026-01-25 00:00:00+00:00,3243,59,89,22
2026-01-26 00:00:00+00:00,5225,279,555,61
2026-01-27 00:00:00+00:00,4258,200,674,80
2026-01-28 00:00:00+00:00,5643,403,772,74
2026-01-29 00:00:00+00:00,6423,205,967,74
2026-01-30 00:00:00+00:00,9848,322,1487,483
2026-01-31 00:00:00+00:00,6780,142,242,63
2026-02-01 00:00:00+00:00,7016,268,398,50
2026-02-02 00:00:00+00:00,7618,434,565,72
