referrer,views_total,views_unique
github.com,292,64
Google,275,40
com.linkedin.android,30,14
statics.teams.cdn.office.net,27,7
riscv.github.io,26,5
linkedin.com,22,9
Bing,10,6
search.brave.com,10,3
kagi.com,4,2
lnkd.in,2,1
