referrer,views_total,views_unique
github.com,481,49
Google,348,46
riscv.org,72,41
Bing,31,7
DuckDuckGo,28,3
lists.riscv.org,19,2
com.slack,14,6
afoliveira-riscv-isa-chatbot.hf.space,11,7
riscv-software-src.github.io,9,4
yandex.ru,8,1
