referrer,views_total,views_unique
github.com,329,65
Google,135,51
Bing,60,9
teams.public.onecdn.static.microsoft,31,3
linkedin.com,16,6
riscv.org,9,2
riscv.github.io,7,2
com.linkedin.android,6,5
DuckDuckGo,6,2
search.brave.com,3,2
