referrer,views_total,views_unique
Google,306,55
statics.teams.cdn.office.net,119,16
github.com,114,44
overleaf.com,14,2
Bing,11,5
com.slack,10,1
search.brave.com,9,3
chatgpt.com,8,1
riscv.org,6,2
qwant.com,3,2
