time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,876,63,239,53
2026-05-06 00:00:00+00:00,677,35,257,34
2026-05-07 00:00:00+00:00,767,55,222,34
2026-05-08 00:00:00+00:00,1168,75,210,25
2026-05-09 00:00:00+00:00,38,24,68,14
2026-05-10 00:00:00+00:00,167,48,85,22
2026-05-11 00:00:00+00:00,309,129,130,29
2026-05-12 00:00:00+00:00,299,34,189,35
2026-05-13 00:00:00+00:00,1092,54,198,38
2026-05-14 00:00:00+00:00,763,37,152,27
2026-05-15 00:00:00+00:00,528,28,178,39
2026-05-16 00:00:00+00:00,83,16,34,12
2026-05-17 00:00:00+00:00,323,38,91,21
2026-05-18 00:00:00+00:00,1880,120,264,39
