url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,475,243
/riscv-software-src/riscv-unified-db/pulls,267,39
/riscv-software-src/riscv-unified-db/issues,140,57
/riscv-software-src/riscv-unified-db/commits/main,47,14
/riscv-software-src/riscv-unified-db/pull/891,33,11
/riscv-software-src/riscv-unified-db/tree/main/spec,32,25
/riscv-software-src/riscv-unified-db/blob/main/doc/idl.adoc,29,11
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,25,17
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,24,11
/riscv-software-src/riscv-unified-db/pull/1301,24,2
