time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,143,101,88,20
2025-12-02 00:00:00+00:00,44,29,51,12
2025-12-03 00:00:00+00:00,162,72,311,44
2025-12-04 00:00:00+00:00,257,63,227,42
2025-12-05 00:00:00+00:00,178,53,121,25
2025-12-06 00:00:00+00:00,45,25,102,15
2025-12-07 00:00:00+00:00,99,29,91,16
2025-12-08 00:00:00+00:00,332,156,236,21
2025-12-09 00:00:00+00:00,395,68,190,24
2025-12-10 00:00:00+00:00,582,279,245,24
2025-12-11 00:00:00+00:00,769,134,293,28
2025-12-12 00:00:00+00:00,890,271,236,28
2025-12-13 00:00:00+00:00,67,64,4,4
2025-12-14 00:00:00+00:00,88,68,29,11
