url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,846,337
/riscv-software-src/riscv-unified-db/pulls,701,87
/riscv-software-src/riscv-unified-db/issues,358,119
/riscv/riscv-unified-db/pulls,221,34
/riscv/riscv-unified-db,216,70
/riscv-software-src/riscv-unified-db/branches/all,185,2
/riscv-software-src/riscv-unified-db/actions,130,4
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,101,35
/riscv-software-src/riscv-unified-db/tree/main/spec,92,35
/riscv-software-src/riscv-unified-db/pull/1368,58,6
