url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,611,291
/riscv-software-src/riscv-unified-db/pulls,305,47
/riscv-software-src/riscv-unified-db/issues,198,79
/riscv-software-src/riscv-unified-db/tree/main/spec,55,30
/riscv-software-src/riscv-unified-db/commits/main,50,13
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,41,19
/riscv-software-src/riscv-unified-db/blob/main/doc/idl.adoc,32,12
/riscv-software-src/riscv-unified-db/pull/891,31,11
/riscv-software-src/riscv-unified-db/pull/1306,29,3
/riscv-software-src/riscv-unified-db/pull/1301,28,2
