url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,318,123
/riscv-software-src/riscv-unified-db/pulls,230,24
/riscv-software-src/riscv-unified-db/issues,79,20
/riscv-software-src/riscv-unified-db/commits/main,52,19
/riscv-software-src/riscv-unified-db/tree/main/spec,30,21
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,28,16
/riscv-software-src/riscv-unified-db/pull/891,25,6
/riscv-software-src/riscv-unified-db/pull/1291,22,9
/riscv-software-src/riscv-unified-db/pull/1292,22,9
/riscv-software-src/riscv-unified-db/blob/main/doc/idl.adoc,20,11
