url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,793,320
/riscv-software-src/riscv-unified-db/pulls,663,81
/riscv-software-src/riscv-unified-db/issues,335,111
/riscv/riscv-unified-db,257,96
/riscv/riscv-unified-db/pulls,253,36
/riscv-software-src/riscv-unified-db/branches/all,185,2
/riscv-software-src/riscv-unified-db/actions,129,4
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,94,32
/riscv-software-src/riscv-unified-db/tree/main/spec,84,33
/riscv/riscv-unified-db/issues,73,25
