url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,231,95
/riscv-software-src/riscv-unified-db/pulls,85,23
/riscv-software-src/riscv-unified-db/issues,82,20
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,66,47
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,46,15
/riscv-software-src/riscv-unified-db/tree/main/spec,32,17
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,31,10
/riscv-software-src/riscv-unified-db/commits/main,24,15
/riscv-software-src/riscv-unified-db/issues/1288,23,5
/riscv-software-src/riscv-unified-db/pull/891,23,4
