url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,213,90
/riscv-software-src/riscv-unified-db/pulls,84,23
/riscv-software-src/riscv-unified-db/issues,66,14
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,60,44
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,47,15
/riscv-software-src/riscv-unified-db/tree/main/spec,34,18
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,34,12
/riscv-software-src/riscv-unified-db/blob/main/spec/std/isa/inst/I/add.yaml,25,17
/riscv-software-src/riscv-unified-db/pull/891,24,4
/riscv-software-src/riscv-unified-db/commits/main,23,14
