url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,774,340
/riscv-software-src/riscv-unified-db/pulls,455,53
/riscv-software-src/riscv-unified-db/issues,249,103
/riscv-software-src/riscv-unified-db/actions,116,5
/riscv-software-src/riscv-unified-db/tree/main/spec,66,31
/riscv-software-src/riscv-unified-db/commits/main,62,17
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,47,21
/riscv-software-src/riscv-unified-db/pull/1329,46,7
/riscv-software-src/riscv-unified-db/pull/1306,43,3
/riscv-software-src/riscv-unified-db/pull/1328,42,16
