referrer,views_total,views_unique
github.com,326,72
Google,285,43
com.linkedin.android,29,14
riscv.github.io,25,4
linkedin.com,16,8
search.brave.com,9,3
statics.teams.cdn.office.net,7,5
Bing,2,2
jira-dc4.qualcomm.com,2,2
lnkd.in,2,1
