url_path,views_total,views_unique
/riscv/riscv-unified-db,215,152
/riscv/riscv-unified-db/pulls,49,22
/riscv/riscv-unified-db/issues,43,19
/riscv/riscv-unified-db/tree/main/spec/std/isa,39,20
/riscv/riscv-unified-db/tree/main/spec,37,24
/riscv/riscv-unified-db/tree/main,33,6
/riscv/riscv-unified-db/tree/main/spec/std,32,20
/riscv/riscv-unified-db/tree/main/backends/cpp_hart_gen,23,6
/riscv/riscv-unified-db/tree/main/spec/std/isa/inst,18,13
/riscv/riscv-unified-db/blob/main/spec/std/isa/ext/Zve32x.yaml,15,3
