referrer,views_total,views_unique
github.com,653,82
Google,550,72
riscv.org,62,22
statics.teams.cdn.office.net,36,11
DuckDuckGo,20,11
usc-word-edit.officeapps.live.com,18,1
Bing,10,8
search.brave.com,10,1
goodfirstissues.com,7,3
riscv-non-isa.github.io,5,2
