url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,952,366
/riscv-software-src/riscv-unified-db/pulls,813,86
/riscv-software-src/riscv-unified-db/issues,388,130
/riscv-software-src/riscv-unified-db/actions,224,4
/riscv-software-src/riscv-unified-db/branches/all,183,2
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,109,35
/riscv-software-src/riscv-unified-db/tree/main/spec,99,33
/riscv-software-src/riscv-unified-db/commits/main,62,19
/riscv-software-src/riscv-unified-db/pull/1328,61,24
/riscv-software-src/riscv-unified-db/pull/1333,52,3
