url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,251,102
/riscv-software-src/riscv-unified-db/pulls,89,24
/riscv-software-src/riscv-unified-db/issues,85,21
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,68,48
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,47,15
/riscv-software-src/riscv-unified-db/tree/main/spec,33,17
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,31,10
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/ext,23,8
/riscv-software-src/riscv-unified-db/issues/1288,23,5
/riscv-software-src/riscv-unified-db/pull/891,23,4
