referrer,views_total,views_unique
Google,341,51
github.com,324,51
riscv.org,123,61
lists.riscv.org,20,3
DuckDuckGo,17,4
afoliveira-riscv-isa-chatbot.hf.space,16,10
Bing,15,5
com.slack,14,6
riscv-software-src.github.io,9,5
statics.teams.cdn.office.net,8,5
