referrer,views_total,views_unique
Google,879,52
github.com,516,68
statics.teams.cdn.office.net,58,22
Bing,28,4
usc-onenote.officeapps.live.com,11,3
chatgpt.com,7,1
DuckDuckGo,5,3
linkedin.com,5,2
codeberg.org,5,1
riscv.github.io,4,1
