time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,500,54,413,54
2025-10-31 00:00:00+00:00,559,17,397,50
2025-11-01 00:00:00+00:00,74,38,62,12
2025-11-02 00:00:00+00:00,21,4,48,14
2025-11-03 00:00:00+00:00,252,18,205,42
2025-11-04 00:00:00+00:00,183,16,182,35
2025-11-05 00:00:00+00:00,72,15,183,33
2025-11-06 00:00:00+00:00,110,10,195,27
2025-11-07 00:00:00+00:00,312,32,302,35
2025-11-08 00:00:00+00:00,107,15,140,27
2025-11-09 00:00:00+00:00,36,3,45,18
2025-11-10 00:00:00+00:00,97,10,151,25
2025-11-11 00:00:00+00:00,356,24,368,47
2025-11-12 00:00:00+00:00,413,20,288,36
