url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,758,333
/riscv-software-src/riscv-unified-db/pulls,423,50
/riscv-software-src/riscv-unified-db/issues,241,97
/riscv-software-src/riscv-unified-db/actions,109,5
/riscv-software-src/riscv-unified-db/tree/main/spec,68,33
/riscv-software-src/riscv-unified-db/commits/main,56,15
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,46,21
/riscv-software-src/riscv-unified-db/pull/1329,43,6
/riscv-software-src/riscv-unified-db/pull/1306,43,3
/riscv-software-src/riscv-unified-db/pull/1301,36,3
