url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,221,92
/riscv-software-src/riscv-unified-db/pulls,79,16
/riscv-software-src/riscv-unified-db/issues,66,14
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,60,44
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,43,15
/riscv-software-src/riscv-unified-db/tree/main/spec,32,18
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,25,12
/riscv-software-src/riscv-unified-db/pull/891,24,4
/riscv-software-src/riscv-unified-db/commits/main,23,14
/riscv-software-src/riscv-unified-db/issues/1288,23,5
