url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,684,278
/riscv-software-src/riscv-unified-db/pulls,582,74
/riscv/riscv-unified-db,412,153
/riscv/riscv-unified-db/pulls,336,40
/riscv-software-src/riscv-unified-db/issues,286,96
/riscv-software-src/riscv-unified-db/branches/all,185,2
/riscv/riscv-unified-db/issues,121,46
/riscv-software-src/riscv-unified-db/actions,114,4
/riscv-software-src/riscv-unified-db/tree/main/spec,64,28
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,63,28
