referrer,views_total,views_unique
github.com,389,65
Google,249,32
statics.teams.cdn.office.net,64,13
chatgpt.com,18,3
riscv.github.io,7,5
Bing,5,4
yandex.ru,5,3
linkedin.com,5,2
search.brave.com,5,2
seiya.me,3,1
