referrer,views_total,views_unique
github.com,1242,130
Google,264,60
riscv.org,82,32
Bing,28,11
teams.public.onecdn.static.microsoft,20,7
chatgpt.com,14,4
claude.ai,14,2
search.brave.com,12,3
perplexity.ai,8,2
linkedin.com,4,2
