url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,914,375
/riscv-software-src/riscv-unified-db/pulls,664,72
/riscv-software-src/riscv-unified-db/issues,378,131
/riscv-software-src/riscv-unified-db/actions,224,3
/riscv-software-src/riscv-unified-db/branches/all,170,2
/riscv-software-src/riscv-unified-db/tree/main/spec,95,31
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,93,28
/riscv-software-src/riscv-unified-db/pull/1328,58,23
/riscv-software-src/riscv-unified-db/commits/main,51,16
/riscv-software-src/riscv-unified-db/pull/1339,50,7
