time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,1601,172,353,38
2026-04-23 00:00:00+00:00,2897,284,305,37
2026-04-24 00:00:00+00:00,1098,133,166,31
2026-04-25 00:00:00+00:00,111,71,125,32
2026-04-26 00:00:00+00:00,89,19,86,17
2026-04-27 00:00:00+00:00,769,190,126,27
2026-04-28 00:00:00+00:00,1325,84,194,36
2026-04-29 00:00:00+00:00,2567,133,476,39
2026-04-30 00:00:00+00:00,867,56,198,36
2026-05-01 00:00:00+00:00,465,40,88,25
2026-05-02 00:00:00+00:00,79,19,67,25
2026-05-03 00:00:00+00:00,353,51,91,22
2026-05-04 00:00:00+00:00,471,71,94,26
2026-05-05 00:00:00+00:00,876,63,239,53
