referrer,views_total,views_unique
github.com,173,54
Google,91,35
statics.teams.cdn.office.net,41,13
search.brave.com,12,4
lfx-dashboard.vercel.app,12,1
Bing,8,4
chatgpt.com,8,1
aliyuque.antfin.com,3,3
qwant.com,3,2
riscv.org,3,1
