referrer,views_total,views_unique
github.com,174,53
Google,96,35
statics.teams.cdn.office.net,44,14
chatgpt.com,16,2
search.brave.com,13,4
lfx-dashboard.vercel.app,12,1
com.slack,10,1
Bing,6,3
aliyuque.antfin.com,3,3
qwant.com,3,2
