time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-17 00:00:00+00:00,2206,89,708,84
2026-07-18 00:00:00+00:00,1725,83,529,72
2026-07-19 00:00:00+00:00,1051,70,419,74
2026-07-20 00:00:00+00:00,3625,82,590,78
2026-07-21 00:00:00+00:00,2402,80,653,72
2026-07-22 00:00:00+00:00,884,55,357,76
2026-07-23 00:00:00+00:00,1327,52,457,79
2026-07-24 00:00:00+00:00,1635,99,394,66
2026-07-25 00:00:00+00:00,1637,74,482,54
2026-07-26 00:00:00+00:00,2794,175,648,68
2026-07-27 00:00:00+00:00,9422,210,844,77
2026-07-28 00:00:00+00:00,4459,155,1037,76
2026-07-29 00:00:00+00:00,5594,138,736,81
2026-07-30 00:00:00+00:00,6179,160,1298,86
