url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,967,409
/riscv-software-src/riscv-unified-db/pulls,618,69
/riscv-software-src/riscv-unified-db/issues,373,143
/riscv-software-src/riscv-unified-db/actions,224,4
/riscv-software-src/riscv-unified-db/branches/all,170,2
/riscv-software-src/riscv-unified-db/tree/main/spec,99,35
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,96,31
/riscv-software-src/riscv-unified-db/pull/1328,57,22
/riscv-software-src/riscv-unified-db/commits/main,50,17
/riscv-software-src/riscv-unified-db/pull/1339,50,7
