time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,107,15,140,27
2025-11-09 00:00:00+00:00,36,3,45,18
2025-11-10 00:00:00+00:00,97,10,151,25
2025-11-11 00:00:00+00:00,356,24,368,47
2025-11-12 00:00:00+00:00,414,21,291,39
2025-11-13 00:00:00+00:00,108,14,275,31
2025-11-14 00:00:00+00:00,68,13,136,25
2025-11-15 00:00:00+00:00,91,7,15,5
2025-11-16 00:00:00+00:00,4,3,39,17
2025-11-17 00:00:00+00:00,295,22,336,41
2025-11-18 00:00:00+00:00,232,15,176,36
2025-11-19 00:00:00+00:00,171,18,198,24
2025-11-20 00:00:00+00:00,89,13,88,19
2025-11-21 00:00:00+00:00,202,75,180,19
