url_path,views_total,views_unique
/riscv/riscv-unified-db,202,131
/riscv/riscv-unified-db/issues,45,32
/riscv/riscv-unified-db/pulls,37,21
/riscv/riscv-unified-db/tree/main/spec,30,18
/riscv/riscv-unified-db/tree/main/spec/std/isa,25,15
/riscv/riscv-unified-db/tree/main/spec/std,22,13
/riscv/riscv-unified-db/tree/main/spec/std/isa/inst,21,12
/riscv/riscv-unified-db/tree/main/backends/cpp_hart_gen,19,5
/riscv/riscv-unified-db/blob/main/spec/std/isa/ext/Zve32x.yaml,17,3
/riscv/riscv-unified-db/pull/1833,17,3
