url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,214,94
/riscv-software-src/riscv-unified-db/pulls,77,15
/riscv-software-src/riscv-unified-db/issues,74,19
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,60,44
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,42,13
/riscv-software-src/riscv-unified-db/tree/main/spec,38,20
/riscv-software-src/riscv-unified-db/commits/main,32,24
/riscv-software-src/riscv-unified-db/pull/891,30,5
/riscv-software-src/riscv-unified-db/pull/1281,25,6
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,22,11
