referrer,views_total,views_unique
Google,966,46
github.com,463,70
Bing,56,9
statics.teams.cdn.office.net,42,13
riscv.github.io,11,3
usc-onenote.officeapps.live.com,9,1
linkedin.com,8,4
DuckDuckGo,6,3
search.brave.com,5,2
codeberg.org,5,1
