time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,902,77,97,22
2026-06-12 00:00:00+00:00,32,25,95,29
2026-06-13 00:00:00+00:00,47,30,20,15
2026-06-14 00:00:00+00:00,287,37,82,11
2026-06-15 00:00:00+00:00,58,27,78,31
2026-06-16 00:00:00+00:00,173,31,55,21
2026-06-17 00:00:00+00:00,45,27,84,33
2026-06-18 00:00:00+00:00,262,25,115,27
2026-06-19 00:00:00+00:00,43,26,47,19
2026-06-20 00:00:00+00:00,22,16,62,19
2026-06-21 00:00:00+00:00,297,39,32,11
2026-06-22 00:00:00+00:00,218,132,223,32
2026-06-23 00:00:00+00:00,42,25,133,25
2026-06-24 00:00:00+00:00,722,47,94,29
