time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,3077,711,573,39
2026-03-27 00:00:00+00:00,2362,852,425,36
2026-03-28 00:00:00+00:00,654,211,59,20
2026-03-29 00:00:00+00:00,1029,611,236,34
2026-03-30 00:00:00+00:00,2529,1432,450,47
2026-03-31 00:00:00+00:00,2428,1368,217,41
2026-04-01 00:00:00+00:00,2905,1770,525,32
2026-04-02 00:00:00+00:00,2212,1606,330,44
2026-04-03 00:00:00+00:00,790,638,391,52
2026-04-04 00:00:00+00:00,339,312,163,21
2026-04-05 00:00:00+00:00,505,440,51,22
2026-04-06 00:00:00+00:00,2273,1782,562,45
2026-04-07 00:00:00+00:00,2033,1526,265,55
2026-04-08 00:00:00+00:00,1804,1384,254,57
