referrer,views_total,views_unique
Google,289,25
github.com,151,26
Bing,86,6
statics.teams.cdn.office.net,31,6
linkedin.com,31,5
com.linkedin.android,12,7
afoliveira-riscv-isa-chatbot.hf.space,10,9
dhower-qc.github.io,9,1
DuckDuckGo,7,4
talk.yadro.com,6,5
