url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,205,94
/riscv-software-src/riscv-unified-db/pulls,96,13
/riscv-software-src/riscv-unified-db/pull/891,81,5
/riscv-software-src/riscv-unified-db/issues,57,16
/riscv-software-src/riscv-unified-db/commits/main,44,29
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,43,32
/riscv-software-src/riscv-unified-db/pull/1275,39,3
/riscv-software-src/riscv-unified-db/tree/main/spec,36,21
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,25,13
/riscv-software-src/riscv-unified-db/tree/main,24,13
