url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,227,97
/riscv-software-src/riscv-unified-db/pulls,77,16
/riscv-software-src/riscv-unified-db/issues,74,17
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,60,44
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,41,14
/riscv-software-src/riscv-unified-db/tree/main/spec,36,19
/riscv-software-src/riscv-unified-db/commits/main,26,17
/riscv-software-src/riscv-unified-db/pull/1281,25,6
/riscv-software-src/riscv-unified-db/pull/891,25,5
/riscv-software-src/riscv-unified-db/issues/1288,23,5
