referrer,views_total,views_unique
Google,341,49
github.com,255,47
riscv.org,115,57
statics.teams.cdn.office.net,24,6
linkedin.com,23,5
afoliveira-riscv-isa-chatbot.hf.space,21,15
lists.riscv.org,20,3
Bing,17,5
com.slack,11,4
com.linkedin.android,8,6
