url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,254,107
/riscv-software-src/riscv-unified-db/pulls,90,20
/riscv-software-src/riscv-unified-db/issues,86,18
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,44,15
/riscv-software-src/riscv-unified-db/tree/main/spec,35,20
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,30,10
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,28,18
/riscv-software-src/riscv-unified-db/issues/1288,24,5
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/ext,19,7
/riscv-software-src/riscv-unified-db/issues/1177,19,6
