referrer,views_total,views_unique
Google,959,44
github.com,453,68
statics.teams.cdn.office.net,46,16
Bing,32,8
riscv.github.io,11,3
usc-onenote.officeapps.live.com,9,1
linkedin.com,7,4
DuckDuckGo,6,3
search.brave.com,5,2
codeberg.org,5,1
