referrer,views_total,views_unique
Google,326,38
github.com,160,41
riscv.org,89,42
statics.teams.cdn.office.net,27,5
linkedin.com,24,5
afoliveira-riscv-isa-chatbot.hf.space,17,11
Bing,14,4
com.linkedin.android,8,6
DuckDuckGo,7,4
lists.riscv.org,7,3
