url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,541,264
/riscv-software-src/riscv-unified-db/pulls,277,45
/riscv-software-src/riscv-unified-db/issues,166,69
/riscv-software-src/riscv-unified-db/commits/main,46,13
/riscv-software-src/riscv-unified-db/tree/main/spec,38,25
/riscv-software-src/riscv-unified-db/pull/891,31,11
/riscv-software-src/riscv-unified-db/blob/main/doc/idl.adoc,30,10
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,28,17
/riscv-software-src/riscv-unified-db/pull/1301,24,2
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa/inst,23,10
