referrer,views_total,views_unique
Google,323,47
github.com,295,44
riscv.org,116,58
statics.teams.cdn.office.net,23,6
afoliveira-riscv-isa-chatbot.hf.space,21,15
lists.riscv.org,20,3
Bing,18,6
com.slack,12,5
linkedin.com,10,3
riscv-software-src.github.io,8,5
