referrer,views_total,views_unique
github.com,621,62
Google,462,60
riscv.org,69,27
DuckDuckGo,37,6
Bing,32,9
statics.teams.cdn.office.net,19,6
riscv-software-src.github.io,15,4
yandex.ru,8,1
afoliveira-riscv-isa-chatbot.hf.space,5,3
linkedin.com,3,2
