url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,196,93
/riscv-software-src/riscv-unified-db/pulls,77,14
/riscv-software-src/riscv-unified-db/pull/891,68,5
/riscv-software-src/riscv-unified-db/issues,55,17
/riscv-software-src/riscv-unified-db/tree/AFOliveira/mcp,48,36
/riscv-software-src/riscv-unified-db/commits/main,44,29
/riscv-software-src/riscv-unified-db/tree/main/spec,36,21
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,27,13
/riscv-software-src/riscv-unified-db/pull/1275,25,2
/riscv-software-src/riscv-unified-db/pull/891/changes,24,3
