referrer,views_total,views_unique
Google,982,48
github.com,444,71
statics.teams.cdn.office.net,48,17
Bing,32,8
riscv.github.io,12,3
usc-onenote.officeapps.live.com,10,2
DuckDuckGo,6,3
linkedin.com,6,3
codeberg.org,5,1
yandex.ru,4,3
