time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-03 00:00:00+00:00,252,18,205,42
2025-11-04 00:00:00+00:00,183,16,182,35
2025-11-05 00:00:00+00:00,72,15,183,33
2025-11-06 00:00:00+00:00,110,10,195,27
2025-11-07 00:00:00+00:00,312,32,302,35
2025-11-08 00:00:00+00:00,107,15,140,27
2025-11-09 00:00:00+00:00,36,3,45,18
2025-11-10 00:00:00+00:00,97,10,151,25
2025-11-11 00:00:00+00:00,356,24,368,47
2025-11-12 00:00:00+00:00,414,21,291,39
2025-11-13 00:00:00+00:00,108,14,275,31
2025-11-14 00:00:00+00:00,68,13,136,25
2025-11-15 00:00:00+00:00,91,7,15,5
2025-11-16 00:00:00+00:00,4,3,39,17
