time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,36,21,28,9
2026-06-28 00:00:00+00:00,54,27,29,10
2026-06-29 00:00:00+00:00,292,34,136,28
2026-06-30 00:00:00+00:00,35,21,307,24
2026-07-01 00:00:00+00:00,87,24,192,31
2026-07-02 00:00:00+00:00,36,25,80,23
2026-07-03 00:00:00+00:00,40,21,48,20
2026-07-04 00:00:00+00:00,49,35,15,13
2026-07-05 00:00:00+00:00,40,29,36,24
2026-07-06 00:00:00+00:00,178,37,173,35
2026-07-07 00:00:00+00:00,402,50,271,31
2026-07-08 00:00:00+00:00,166,41,115,28
2026-07-09 00:00:00+00:00,332,33,211,25
2026-07-10 00:00:00+00:00,1333,44,235,31
