time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-11 00:00:00+00:00,201,38,188,47
2026-01-12 00:00:00+00:00,305,46,120,45
2026-01-13 00:00:00+00:00,187,112,276,69
2026-01-14 00:00:00+00:00,847,235,563,62
2026-01-15 00:00:00+00:00,3514,164,786,65
2026-01-16 00:00:00+00:00,2954,222,640,59
2026-01-17 00:00:00+00:00,1734,137,316,38
2026-01-18 00:00:00+00:00,422,63,271,43
2026-01-19 00:00:00+00:00,1177,141,334,53
2026-01-20 00:00:00+00:00,1481,129,523,57
2026-01-21 00:00:00+00:00,4795,267,714,63
2026-01-22 00:00:00+00:00,3986,213,972,66
2026-01-23 00:00:00+00:00,2964,176,534,51
2026-01-24 00:00:00+00:00,3393,156,333,43
