referrer,views_total,views_unique
Google,305,51
github.com,152,45
statics.teams.cdn.office.net,128,19
yandex.ru,29,1
overleaf.com,14,2
Bing,13,5
com.slack,10,1
DuckDuckGo,9,2
chatgpt.com,9,2
search.brave.com,8,4
