time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,1318,791,142,27
2026-03-24 00:00:00+00:00,2737,1284,248,32
2026-03-25 00:00:00+00:00,3929,1679,585,49
2026-03-26 00:00:00+00:00,3077,711,573,39
2026-03-27 00:00:00+00:00,2362,852,425,36
2026-03-28 00:00:00+00:00,654,211,59,20
2026-03-29 00:00:00+00:00,1029,611,236,34
2026-03-30 00:00:00+00:00,2529,1432,450,47
2026-03-31 00:00:00+00:00,2428,1368,217,41
2026-04-01 00:00:00+00:00,2905,1770,525,32
2026-04-02 00:00:00+00:00,2212,1606,330,44
2026-04-03 00:00:00+00:00,790,638,391,52
2026-04-04 00:00:00+00:00,339,312,163,21
2026-04-05 00:00:00+00:00,505,440,51,22
