referrer,views_total,views_unique
Google,303,42
github.com,293,58
statics.teams.cdn.office.net,32,8
com.linkedin.android,30,14
linkedin.com,24,10
riscv.github.io,24,4
Bing,12,8
search.brave.com,6,3
kagi.com,4,2
seiya.me,2,2
