url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,881,349
/riscv-software-src/riscv-unified-db/pulls,736,88
/riscv-software-src/riscv-unified-db/issues,377,126
/riscv/riscv-unified-db/pulls,198,30
/riscv-software-src/riscv-unified-db/branches/all,185,2
/riscv/riscv-unified-db,167,45
/riscv-software-src/riscv-unified-db/actions,137,4
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,105,36
/riscv-software-src/riscv-unified-db/tree/main/spec,94,35
/riscv-software-src/riscv-unified-db/commits/main,58,17
