time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,4517,518,235,27
2026-02-14 00:00:00+00:00,1198,242,145,26
2026-02-15 00:00:00+00:00,3378,343,57,20
2026-02-16 00:00:00+00:00,811,363,163,24
2026-02-17 00:00:00+00:00,720,480,174,36
2026-02-18 00:00:00+00:00,1959,864,793,62
2026-02-19 00:00:00+00:00,2529,1535,464,62
2026-02-20 00:00:00+00:00,1926,786,505,48
2026-02-21 00:00:00+00:00,462,294,61,24
2026-02-22 00:00:00+00:00,887,653,243,18
2026-02-23 00:00:00+00:00,2003,1105,934,31
2026-02-24 00:00:00+00:00,2558,716,485,54
2026-02-25 00:00:00+00:00,2567,1013,1632,53
2026-02-26 00:00:00+00:00,1967,695,851,62
