referrer,views_total,views_unique
Google,223,55
github.com,123,50
statics.teams.cdn.office.net,113,13
Bing,14,6
search.brave.com,11,4
com.slack,10,1
riscv.org,8,2
chatgpt.com,8,1
qwant.com,3,2
mi.feishu.cn,2,1
